GDP,EC,Co2 Emission,Coal_consumption,Oil consumption,GiNi
45625234698.0,1.15,61.4,0.09,11.3,32.45
48884606848.0,1.21,65.8,0.09,12.3,31.700000000000003
51809949334.0,1.34,72.5,0.09,13.5,30.950000000000003
52293456906.0,1.39,76.1,0.09,14.4,30.2
60636022423.0,1.46,80.7,0.09,15.7,29.45
63320122807.0,1.56,84.7,0.09,16.5,28.7
62433300338.0,1.51,85.9,0.09,17.0,30.9
62191955814.0,1.62,88.3,0.09,17.6,33.1
62973855719.0,1.69,94.1,0.09,18.2,32.2
82017743416.0,1.73,97.8,0.08,18.8,31.3
79484403985.0,1.77,98.9,0.09,18.5,30.4
79904985385.0,1.84,101.2,0.1,18.0,31.099999999999998
91760542940.0,2.0,106.6,0.13,15.9,31.8
107760000000.0,2.22,117.9,0.14,16.0,32.5
120055000000.0,2.31,120.2,0.16,15.2,32.7
137264000000.0,2.43,130.2,0.17,17.6,32.150000000000006
152386000000.0,2.59,142.0,0.23,19.1,31.6
170078000000.0,2.6,146.3,0.25,19.4,31.0
168153000000.0,2.64,146.0,0.21,20.7,30.400000000000002
177166000000.0,2.65,145.7,0.19,20.5,29.8
213587000000.0,2.65,144.1,0.17,20.7,30.9
224384000000.0,2.47,145.7,0.17,20.0,30.799999999999997
231219000000.0,2.69,146.7,0.13,21.9,30.7
244361000000.0,2.77,153.3,0.2,22.6,31.65
270556000000.0,2.92,160.9,0.19,24.6,32.6
278655000000.0,3.18,176.6,0.22,27.5,32.266666666666666
304567000000.0,3.37,190.4,0.3,28.3,31.933333333333334
314568000000.0,3.48,198.3,0.5,23.4,31.6
279057000000.0,3.51,197.4,0.56,20.7,32.45
262610000000.0,3.47,196.0,0.62,20.2,33.300000000000004
6081009428.0,0.19,13.0,0.01,4.0,34.15
6695336567.0,0.2,14.1,0.01,4.3,35.0
7086538438.0,0.24,16.3,0.01,5.1,35.85
7375000024.0,0.27,17.9,0.01,5.6,36.7
8177884553.0,0.32,22.3,0.01,7.1,37.550000000000004
10838587358.0,0.34,23.6,0.01,7.5,38.400000000000006
13703000530.0,0.36,24.3,0.01,7.7,39.25
14882747955.0,0.39,26.1,0.01,8.3,40.1
16985211146.0,0.42,27.6,0.01,8.7,40.95
19779315170.0,0.46,30.9,0.01,9.8,41.800000000000004
24006570178.0,0.5,34.8,0.01,11.0,42.650000000000006
27371699083.0,0.53,36.1,0.02,11.1,43.5
32353440727.0,0.53,37.7,0.02,11.6,44.35
34846107862.0,0.53,36.8,0.02,11.0,45.2
36589797857.0,0.55,36.4,0.03,10.0,45.0
40042826244.0,0.6,40.4,0.03,11.2,44.800000000000004
41797592963.0,0.66,44.1,0.03,11.6,44.6
38900692712.0,0.7,47.0,0.07,11.0,44.4
43096746122.0,0.74,48.7,0.07,11.5,44.199999999999996
50535438696.0,0.85,57.7,0.09,12.6,44.0
61667199835.0,0.95,64.9,0.1,14.2,43.8
72250877410.0,1.1,74.7,0.12,16.7,44.55
85343063966.0,1.3,89.7,0.16,20.1,45.3
98234695722.0,1.43,99.9,0.19,21.5,46.599999999999994
111453000000.0,1.58,110.4,0.2,24.2,47.9
128889000000.0,1.8,124.9,0.23,27.9,45.7
146683000000.0,2.02,140.0,0.26,31.2,43.5
169279000000.0,2.22,153.9,0.3,34.0,43.2
183035000000.0,2.5,171.9,0.37,37.4,42.9
150181000000.0,2.64,178.7,0.38,37.7,42.2
